Account Executive Name,Mega Region,Channel,H2'21 NB Quota,H2'21 CO Quota,H2 Total Quota,Tenure based ramp status,Status as of 12/31
Rep1,APACx,MM,52500,0,52500,Fully Ramped,active
Rep2,MEA,MM,37994,0,37994,Fully Ramped,active
Rep3,MEA,MM,152587,210000,362587,Fully Ramped,active
Rep4,LatAm,SMB,60000,0,60000,Partially Ramped,active
Rep5,APACx,MM,285319,0,285319,Fully Ramped,active
Rep6,APACx,ENT,189668,0,189668,Partially Ramped,active
Rep7,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep8,LatAm,ENT,140250,0,140250,Partially Ramped,active
Rep9,LatAm,ENT,115500,0,115500,Partially Ramped,active
Rep10,APACx,ENT,25462,0,25462,Partially Ramped,active
Rep11,LatAm,MM,109725,0,109725,Partially Ramped,active
Rep12,APACx,ENT,189668,0,189668,Partially Ramped,active
Rep13,US&Can,MM,222585,0,222585,Partially Ramped,active
Rep14,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep15,APACx,MM,175000,115000,290000,Fully Ramped,active
Rep16,US&Can,MM,180000,0,180000,Fully Ramped,active
Rep17,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep18,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep19,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep20,LatAm,SMB,30000,0,30000,Partially Ramped,active
Rep21,LatAm,SMB,60000,0,60000,Partially Ramped,active
Rep22,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep23,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep24,LatAm,SMB,60000,0,60000,Partially Ramped,active
Rep25,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep26,Europe,MM,137940,0,137940,Partially Ramped,active
Rep27,US&Can,MM,180000,0,180000,Fully Ramped,active
Rep28,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep29,US&Can,ENT,282150,0,282150,Partially Ramped,active
Rep30,LatAm,ENT,132500,67500,200000,Fully Ramped,active
Rep31,Europe,MM,418000,270750,688750,Fully Ramped,active
Rep32,US&Can,MM,343812,0,343812,Fully Ramped,active
Rep33,US&Can,MM,745500,441000,1186500,Fully Ramped,active
Rep34,LatAm,SMB,60000,0,60000,Partially Ramped,active
Rep35,US&Can,MM,194283,0,194283,Partially Ramped,active
Rep36,US&Can,MM,674500,399000,1073500,Fully Ramped,active
Rep37,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep38,US&Can,SMB,103950,0,103950,Partially Ramped,active
Rep39,APACx,MM,113440,0,113440,Partially Ramped,active
Rep40,APACx,MM,379943,341250,721193,Fully Ramped,active
Rep41,Europe,MM,456000,356250,812250,Fully Ramped,active
Rep43,US&Can,ENT,902500,555750,1458250,Fully Ramped,active
Rep44,US&Can,MM,745500,280013,1025513,Fully Ramped,active
Rep45,US&Can,SMB,103950,0,103950,Partially Ramped,active
